"accident_reference","longitude","latitude","police_force","date","local_authority_district","accident_severity","weather_conditions","road_surface_conditions"
"100904640","-1.559916","55.170229",10,"29/11/2019",139,"Slight",8,4
"100905725","-1.518481","54.973512",10,"01/12/2019",149,"Slight",4,4
"100908676","-1.504287","54.993323",10,"19/11/2019",148,"Serious",8,4
"100910681","-1.758833","54.995962",10,"17/12/2019",147,"Slight",1,4
"100910731","-1.566923","54.982554",10,"16/12/2019",147,"Slight",1,4
"100914589","-2.147297","55.149168",10,"31/12/2019",139,"Slight",1,4
"110811835","-1.674963","54.855789",11,"23/01/2019",169,"Slight",1,4
"110812336","-1.705381","54.866847",11,"22/01/2019",169,"Slight",8,4
"110812708","-1.783204","54.814827",11,"23/01/2019",169,"Serious",1,4
"110812731","-1.521433","54.519828",11,"23/01/2019",161,"Slight",1,4
"110813176","-1.519016","54.823954",11,"01/02/2019",169,"Slight",3,4
"110813237","-1.676877","54.656563",11,"01/02/2019",169,"Slight",3,4
"110814287","-1.367579","54.737996",11,"31/01/2019",169,"Slight",1,4
"110819147","-1.820869","54.848003",11,"21/01/2019",169,"Serious",1,4
"110826634","-1.745993","54.713774",11,"31/01/2019",169,"Serious",1,4
"110907888","-1.558702","54.864238",11,"04/12/2019",169,"Serious",1,4
"110908869","-1.732198","54.68966",11,"02/12/2019",169,"Slight",1,4
"110910406","-1.804748","54.793556",11,"17/12/2019",169,"Slight",8,4
"170H10129","-1.206234","54.658673",17,"23/01/2019",240,"Slight",1,4
"170H11059","-1.216122","54.686157",17,"01/12/2019",240,"Serious",1,4
"170L20129","-1.124593","54.563174",17,"03/02/2019",241,"Slight",1,4
"100254554","-1.546765","55.151778",10,"05/01/2018",139,"Slight",1,4
"100254896","-1.790115","54.997961",10,"07/01/2018",139,"Slight",1,4
"100255209","-1.863778","55.299873",10,"07/01/2018",139,"Slight",8,4
"100255283","-1.575197","55.055776",10,"05/01/2018",139,"Slight",1,4
"100259031","-2.149609","55.709576",10,"17/01/2018",139,"Serious",3,4
"100259171","-2.108978","54.992637",10,"17/01/2018",139,"Slight",6,4
"100259174","-1.853726","55.369463",10,"16/01/2018",139,"Slight",6,4
"100259691","-1.544982","55.172025",10,"18/01/2018",139,"Slight",1,4
"100260039","-1.551129","54.900713",10,"19/01/2018",150,"Slight",8,4
"100260046","-1.469544","55.015733",10,"19/01/2018",148,"Slight",1,4
"100260055","-1.740226","54.926326",10,"19/01/2018",146,"Slight",1,4
"100260286","-1.94275","54.87783",10,"19/01/2018",139,"Serious",3,4
"100262001","-1.971612","54.947403",10,"25/01/2018",139,"Slight",1,4
"100263837","-1.583041","55.081314",10,"21/01/2018",139,"Slight",8,4
"100266683","-2.060135","55.065296",10,"11/02/2018",139,"Slight",1,4
"100267810","-1.618334","54.912723",10,"12/02/2018",146,"Slight",1,4
"100268693","-1.845372","55.209221",10,"15/02/2018",139,"Serious",1,4
"100272097","-1.439524","54.89741",10,"27/02/2018",150,"Slight",3,4
"100272402","-1.618917","54.963407",10,"28/02/2018",147,"Slight",3,4
"100274795","-1.628497","54.91359",10,"09/03/2018",146,"Slight",1,4
"100275471","-1.768876","55.084395",10,"09/03/2018",139,"Serious",1,4
"100277102","-1.752943","55.044008",10,"18/03/2018",139,"Serious",1,4
"100277427","-1.438314","54.959698",10,"17/03/2018",149,"Slight",6,4
"100277475","-1.604351","55.001211",10,"18/03/2018",147,"Slight",3,4
"100318297","-1.570484","55.14374",10,"02/03/2018",139,"Slight",3,4
"100319914","-1.473428","54.957905",10,"21/01/2018",149,"Fatal",1,4
"100339375","-1.456226","54.896066",10,"29/10/2018",150,"Serious",8,4
"100339397","-1.806164","55.581388",10,"28/10/2018",139,"Serious",3,4
"100339403","-1.562689","54.90461",10,"29/10/2018",146,"Slight",2,4
"100339663","-1.54862","55.04301",10,"28/10/2018",148,"Serious",7,4
"100339694","-1.63857","54.989185",10,"29/10/2018",147,"Serious",1,4
"100341071","-1.821604","54.996061",10,"29/10/2018",139,"Serious",1,4
"100341073","-1.614154","55.201198",10,"28/10/2018",139,"Slight",1,4
"100343508","-1.559495","54.898551",10,"29/10/2018",146,"Slight",2,4
"100345713","-1.950385","54.904738",10,"21/11/2018",139,"Slight",1,4
"100346034","-1.492177","54.902656",10,"21/11/2018",150,"Slight",2,4
"100346851","-2.089967","55.199212",10,"26/11/2018",139,"Slight",1,4
"100346863","-2.142795","55.224061",10,"26/11/2018",139,"Slight",1,4
"100348775","-2.210684","55.240874",10,"05/12/2018",139,"Serious",2,4
"100348824","-1.681377","55.420336",10,"05/12/2018",139,"Serious",2,4
"100349408","-1.814726","55.338626",10,"04/12/2018",139,"Slight",1,4
"100349807","-1.657143","54.990183",10,"10/12/2018",147,"Slight",1,4
"100351090","-1.575261","55.141511",10,"14/12/2018",139,"Slight",1,4
"100351178","-1.573942","54.973358",10,"15/12/2018",147,"Slight",3,4
"100351729","-1.724448","55.355645",10,"19/12/2018",139,"Slight",1,4
"100352646","-1.57848","54.905223",10,"25/12/2018",146,"Serious",1,4
"100352923","-1.661497","54.994643",10,"28/12/2018",147,"Slight",8,4
"100352988","-1.679361","55.13597",10,"15/12/2018",139,"Slight",6,4
"110262795","-1.582094","54.854499",11,"07/01/2018",169,"Slight",1,4
"110262832","-1.558071","54.528882",11,"05/01/2018",161,"Slight",1,4
"110263167","-1.667151","54.598482",11,"06/01/2018",161,"Slight",1,4
"110263360","-1.717721","54.634009",11,"08/01/2018",169,"Slight",1,4
"110263455","-1.752174","54.715889",11,"09/01/2018",169,"Slight",1,4
"110264106","-1.676812","54.744973",11,"17/01/2018",169,"Slight",1,4
"110264116","-1.675743","54.559368",11,"18/01/2018",161,"Slight",3,4
"110264827","-1.598659","54.701092",11,"20/01/2018",169,"Slight",1,4
"110265414","-1.813683","54.903707",11,"31/01/2018",169,"Slight",1,4
"110265443","-1.735342","54.895502",11,"17/01/2018",169,"Slight",1,4
"110272736","-1.689416","54.847882",11,"14/02/2018",169,"Slight",6,4
"110275113","-1.324567","54.757993",11,"27/02/2018",169,"Slight",6,4
"110283294","-1.607866","54.880797",11,"05/04/2018",169,"Slight",1,4
"110341900","-1.539297","54.708727",11,"31/10/2018",169,"Serious",1,4
"110343335","-1.352924","54.707409",11,"28/10/2018",169,"Slight",3,4
"110803520","-1.744041","54.829219",11,"22/11/2018",169,"Slight",1,4
"110804206","-1.600341","54.880441",11,"04/12/2018",169,"Slight",1,4
"110805493","-1.769087","54.536243",11,"01/12/2018",169,"Slight",5,4
"110807736","-1.894783","54.732686",11,"16/12/2018",169,"Slight",2,4
"110808125","-1.365646","54.741436",11,"15/12/2018",169,"Slight",6,4
"110810252","-1.629571","54.700912",11,"25/12/2018",169,"Slight",1,4
"110813662","-1.795602","54.71358",11,"17/12/2018",169,"Slight",2,4
"170H10058","-1.270804","54.637511",17,"18/01/2018",240,"Slight",3,4
"170L10038","-0.865709","54.502796",17,"05/01/2018",241,"Slight",1,4
"170L10198","-0.941421","54.568631",17,"16/02/2018",241,"Slight",1,4
"170L20028","-1.183481","54.578037",17,"02/01/2018",241,"Slight",1,4
"170L30218","-1.059091","54.598406",17,"23/02/2018",241,"Slight",1,4
"170M20488","-1.214576","54.570873",17,"15/03/2018",243,"Slight",1,4
"170M30408","-1.232822","54.520922",17,"02/03/2018",243,"Slight",3,4
"170S10048","-1.330474","54.577626",17,"19/01/2018",245,"Slight",3,4
"100144757","-1.834192","55.34719",10,"02/01/2017",139,"Slight",1,4
"100145320","-1.458717","54.923135",10,"14/01/2017",150,"Slight",1,4
"100145377","-1.978195","55.130916",10,"14/01/2017",139,"Serious",1,4
"100148449","-1.552737","54.951383",10,"23/01/2017",146,"Slight",1,4
"100154844","-1.909529","55.224417",10,"10/02/2017",139,"Serious",3,4
"100158881","-2.162248","55.1293",10,"27/02/2017",139,"Slight",3,4
"100159224","-1.759255","55.241242",10,"01/03/2017",139,"Serious",1,4
"100166238","-2.158908","55.228076",10,"21/03/2017",139,"Slight",4,4
"100180188","-1.723815","55.146933",10,"01/01/2017",139,"Slight",8,4
"100182586","-1.494172","54.839211",10,"05/01/2017",150,"Slight",1,4
"100184426","-1.581023","55.040565",10,"29/01/2017",148,"Slight",1,4
"100240430","-2.586182","55.220093",10,"17/11/2017",139,"Slight",1,4
"100242983","-1.636561","54.977857",10,"25/11/2017",147,"Slight",1,4
"100243345","-1.624497","54.951167",10,"25/11/2017",146,"Slight",1,4
"100244418","-1.822948","55.099249",10,"29/11/2017",139,"Fatal",1,4
"100244938","-1.397468","54.910131",10,"30/11/2017",150,"Slight",8,4
"100244975","-1.609863","55.097002",10,"01/12/2017",139,"Slight",3,4
"100245341","-1.466153","55.040259",10,"01/12/2017",148,"Slight",8,4
"100246608","-1.381071","54.929675",10,"04/12/2017",150,"Slight",8,4
"100246640","-2.194978","55.081204",10,"01/12/2017",139,"Slight",3,4
"100247470","-1.471354","55.014842",10,"09/12/2017",148,"Serious",1,4
"100248031","-1.534428","55.000955",10,"11/12/2017",148,"Serious",3,4
"100248391","-1.596294","55.087505",10,"12/12/2017",139,"Slight",1,4
"100248971","-1.603864","54.951965",10,"12/12/2017",146,"Slight",9,4
"100248974","-1.461251","55.041684",10,"13/12/2017",148,"Slight",8,4
"100249715","-1.764691","55.564343",10,"12/12/2017",139,"Slight",2,4
"100249722","-1.662924","55.102246",10,"16/12/2017",139,"Slight",1,4
"100249724","-1.778685","55.004321",10,"16/12/2017",139,"Slight",1,4
"100249726","-1.632037","55.124146",10,"11/12/2017",139,"Slight",3,4
"100249742","-1.529744","55.107386",10,"13/12/2017",139,"Slight",1,4
"100249760","-1.638476","54.989122",10,"13/12/2017",147,"Slight",1,4
"100249809","-1.739144","54.985516",10,"15/12/2017",147,"Slight",8,4
"100250014","-1.991257","55.143453",10,"17/12/2017",139,"Slight",1,4
"100250203","-1.559678","54.883275",10,"17/12/2017",146,"Slight",2,4
"100251164","-1.722242","55.025475",10,"15/12/2017",147,"Serious",2,4
"100251922","-1.462809","54.998944",10,"21/12/2017",148,"Slight",1,4
"100252044","-1.761221","55.020364",10,"27/12/2017",139,"Slight",1,4
"100252057","-1.978017","55.318582",10,"27/12/2017",139,"Serious",1,4
"100252665","-1.5544","54.977458",10,"28/12/2017",147,"Slight",1,4
"100252877","-1.489075","54.918557",10,"29/12/2017",150,"Slight",3,4
"100252879","-1.568562","55.080374",10,"29/12/2017",139,"Slight",3,4
"100253105","-1.765796","55.273594",10,"29/12/2017",139,"Slight",3,4
"110147559","-1.375887","54.838103",11,"01/01/2017",169,"Slight",6,4
"110147765","-1.799947","54.723337",11,"02/01/2017",169,"Slight",1,4
"110148279","-1.77896","54.822709",11,"05/01/2017",169,"Slight",1,4
"110149545","-1.710555","54.650474",11,"12/01/2017",169,"Slight",8,4
"110151450","-1.538275","54.514052",11,"14/01/2017",161,"Slight",4,4
"110156120","-1.78472","54.866169",11,"27/01/2017",169,"Slight",7,4
"110162424","-1.573351","54.561738",11,"14/02/2017",161,"Serious",1,4
"110171071","-1.546556","54.59199",11,"21/03/2017",161,"Slight",4,4
"110248869","-1.520851","54.54312",11,"01/12/2017",161,"Serious",3,4
"110253467","-1.663955","54.597503",11,"29/11/2017",161,"Slight",1,4
"110253612","-1.743948","54.851137",11,"30/11/2017",169,"Slight",3,4
"110258074","-2.183253","54.654282",11,"08/12/2017",169,"Slight",1,4
"110258228","-1.35389","54.785274",11,"09/12/2017",169,"Slight",1,4
"110258424","-1.384958","54.819081",11,"10/12/2017",169,"Slight",8,4
"110259443","-1.558488","54.860957",11,"12/12/2017",169,"Slight",1,4
"110259636","-1.562677","54.864001",11,"13/12/2017",169,"Slight",1,4
"110259899","-1.437817","54.680296",11,"15/12/2017",169,"Serious",1,4
"110259956","-1.454627","54.75223",11,"15/12/2017",169,"Slight",1,4
"110260016","-1.536499","54.651884",11,"16/12/2017",169,"Serious",1,4
"110260444","-1.408746","54.83444",11,"16/12/2017",169,"Slight",1,4
"110261134","-1.582236","54.796887",11,"18/12/2017",169,"Slight",1,4
"110261745","-1.682054","54.898807",11,"29/12/2017",169,"Slight",1,4
"110261962","-1.871156","54.730201",11,"27/12/2017",169,"Serious",1,4
"110261965","-1.398227","54.798497",11,"29/12/2017",169,"Slight",3,4
"110262054","-1.679143","54.6641",11,"30/12/2017",169,"Slight",1,4
"170H10017","-1.349358","54.640178",17,"02/01/2017",240,"Slight",1,4
"170H10987","-1.34561","54.639124",17,"30/11/2017",240,"Serious",1,4
"170H10997","-1.345518","54.639097",17,"30/11/2017",240,"Serious",1,4
"170H11097","-1.238344","54.708083",17,"30/11/2017",240,"Slight",3,4
"170L30017","-1.091704","54.617204",17,"02/01/2017",241,"Serious",1,4
"170L30057","-1.067997","54.575082",17,"22/01/2017",241,"Slight",1,4
"170L31347","-1.100435","54.606799",17,"25/11/2017",241,"Slight",1,4
"170M12277","-1.22563","54.572032",17,"14/12/2017",243,"Slight",1,4
"170M12347","-1.224922","54.557935",17,"15/12/2017",243,"Slight",1,4
"170M22307","-1.1936","54.571706",17,"11/12/2017",243,"Slight",1,4
"170M22437","-1.204418","54.561892",17,"29/12/2017",243,"Slight",1,4
"170M31847","-1.189426","54.527874",17,"06/11/2017",243,"Slight",1,4
"170S10157","-1.321245","54.564193",17,"24/01/2017",245,"Slight",1,4
"170S10337","-1.308592","54.587209",17,"24/01/2017",245,"Slight",1,4
"170S12347","-1.381373","54.55089",17,"30/11/2017",245,"Serious",1,4
"170S30327","-1.299629","54.556728",17,"24/01/2017",245,"Slight",1,4
"170S42517","-1.394677","54.523179",17,"27/12/2017",245,"Slight",1,4
"100007916","-1.518081","54.876784",10,"11/01/2016",150,"Slight",1,4
"100008416","-1.620328","54.978514",10,"11/01/2016",147,"Slight",7,4
"100010116","-2.118261","54.969236",10,"11/01/2016",139,"Slight",1,4
"100010616","-1.601679","55.124536",10,"11/01/2016",139,"Slight",1,4
"100010816","-1.63758","54.960819",10,"11/01/2016",147,"Slight",1,4
"100011016","-1.494281","54.996361",10,"11/01/2016",148,"Slight",8,4
"100013316","-1.578773","54.968995",10,"11/01/2016",147,"Slight",1,4
"100015816","-1.585953","55.048433",10,"11/01/2016",148,"Slight",1,4
"100016016","-1.51461","54.995617",10,"01/01/2016",148,"Serious",2,4
"100016616","-2.020355","55.746762",10,"14/01/2016",139,"Slight",8,4
"100018216","-1.912199","54.916763",10,"11/01/2016",139,"Slight",1,4
"100018416","-1.461121","55.029405",10,"15/01/2016",148,"Slight",8,4
"100021816","-2.491237","54.918175",10,"14/01/2016",139,"Slight",1,4
"100022016","-1.956919","54.92164",10,"14/01/2016",139,"Slight",1,4
"100022716","-1.470154","54.84017",10,"18/01/2016",150,"Slight",1,4
"100022816","-1.843523","54.929635",10,"08/01/2016",139,"Slight",1,4
"100023216","-2.237721","55.26131",10,"08/01/2016",139,"Slight",3,4
"100023916","-2.094467","55.564468",10,"11/01/2016",139,"Slight",8,4
"100030816","-2.374234","55.319413",10,"20/01/2016",139,"Slight",1,4
"100032116","-1.549717","55.149086",10,"11/01/2016",139,"Slight",8,4
"100041216","-1.409091","54.897277",10,"18/01/2016",150,"Slight",1,4
"100048652","-1.690673","55.07139",10,"03/03/2016",147,"Slight",1,4
"100050516","-1.428712","54.880431",10,"18/01/2016",150,"Slight",1,4
"100091616","-1.748719","55.521134",10,"14/02/2016",139,"Slight",3,4
"100093316","-1.512378","54.997953",10,"18/01/2016",148,"Slight",1,4
"100094416","-1.549433","54.910801",10,"13/02/2016",150,"Slight",2,4
"100098116","-1.526304","55.102897",10,"19/02/2016",139,"Slight",1,4
"100101716","-1.617916","54.957685",10,"16/02/2016",146,"Slight",1,4
"100104516","-2.320068","54.977616",10,"15/02/2016",139,"Fatal",1,4
"100107216","-1.411891","54.909504",10,"16/01/2016",150,"Slight",1,4
"100129516","-1.437199","54.986009",10,"28/02/2016",149,"Slight",1,4
"100130190","-2.553752","55.20069",10,"23/11/2016",139,"Serious",1,4
"100130646","-2.41479","55.324907",10,"25/11/2016",139,"Serious",1,4
"100130835","-1.544098","54.989413",10,"26/11/2016",148,"Slight",1,4
"100133582","-1.613128","55.302579",10,"05/12/2016",139,"Slight",8,4
"100140461","-1.591542","55.04377",10,"28/12/2016",148,"Slight",1,4
"100140605","-1.678569","54.989115",10,"28/12/2016",147,"Slight",8,4
"100140903","-1.690202","55.112051",10,"29/12/2016",139,"Slight",1,4
"100155657","-1.576743","54.888694",10,"05/12/2016",146,"Slight",1,4
"100167962","-1.655706","54.968887",10,"23/11/2016",147,"Slight",1,4
"100170293","-1.666756","55.115081",10,"21/11/2016",139,"Slight",4,4
"100170986","-1.625201","54.967",10,"21/11/2016",147,"Slight",1,4
"100172094","-1.728114","54.953928",10,"05/12/2016",146,"Slight",8,4
"100173097","-1.444103","54.91387",10,"25/11/2016",150,"Slight",8,4
"110050067","-1.663903","54.693856",11,"05/03/2016",169,"Fatal",1,4
"110136930","-1.526476","54.793429",11,"29/11/2016",169,"Slight",1,4
"110137903","-1.369587","54.820844",11,"05/12/2016",169,"Slight",1,4
"110145682","-1.533419","54.852346",11,"22/12/2016",169,"Serious",8,4
"11ND04666","-1.519437","54.741781",11,"19/02/2016",169,"Slight",1,4
"11NH00586","-1.697351","54.864826",11,"11/01/2016",169,"Slight",1,4
"11NI04426","-1.670624","54.79493",11,"14/02/2016",169,"Slight",1,4
"11SJ00436","-1.603343","54.546313",11,"08/01/2016",161,"Slight",1,4
"11SJ04046","-1.52589","54.514705",11,"15/02/2016",161,"Slight",1,4
"11SJ04266","-1.586255","54.536289",11,"11/02/2016",161,"Slight",1,4
"11SJ04406","-1.618528","54.53928",11,"15/02/2016",161,"Slight",1,4
"11SJ04586","-1.586104","54.561866",11,"16/02/2016",161,"Slight",1,4
"11SJ05056","-1.559011","54.524528",11,"23/02/2016",161,"Slight",1,4
"170H10046","-1.215704","54.676389",17,"19/01/2016",240,"Slight",1,4
"170L10246","-0.989298","54.527454",17,"24/02/2016",241,"Slight",1,4
"170L10266","-0.96341","54.525231",17,"15/02/2016",241,"Slight",6,4
"170M10346","-1.229691","54.546893",17,"11/02/2016",243,"Serious",1,4
"170M22536","-1.19517","54.55322",17,"18/11/2016",243,"Slight",1,4
"170S10076","-1.372735","54.56404",17,"08/01/2016",245,"Slight",1,4
"170S10116","-1.348871","54.60095",17,"11/01/2016",245,"Slight",1,4
"170S10426","-1.413669","54.584781",17,"15/02/2016",245,"Slight",3,4
"170S20036","-1.292469","54.624719",17,"01/01/2016",245,"Slight",8,4
"170S42646","-1.352577","54.494103",17,"24/11/2016",245,"Slight",1,4
